Date,Price,Open,High,Low,Change %
9/24/2019,1.102,1.0994,1.1025,1.0983,0.25%
9/23/2019,1.0993,1.1016,1.1027,1.0965,-0.23%
9/20/2019,1.1018,1.1042,1.1069,1.0996,-0.21%
9/19/2019,1.1041,1.103,1.1075,1.1022,0.10%
9/18/2019,1.103,1.1073,1.1077,1.1013,-0.39%
9/17/2019,1.1073,1.1,1.1076,1.099,0.65%
9/16/2019,1.1002,1.1087,1.1093,1.0993,-0.66%
9/13/2019,1.1075,1.1063,1.111,1.1055,0.11%
9/12/2019,1.1063,1.1011,1.1087,1.0927,0.48%
9/11/2019,1.101,1.1044,1.1056,1.0984,-0.30%
9/10/2019,1.1043,1.1047,1.1061,1.103,-0.04%
9/9/2019,1.1048,1.1024,1.1069,1.1015,0.17%
9/6/2019,1.1029,1.1034,1.1057,1.102,-0.05%
9/5/2019,1.1035,1.1037,1.1085,1.1016,0.00%
9/4/2019,1.1034,1.0974,1.1039,1.0968,0.55%
9/3/2019,1.0974,1.097,1.0979,1.0926,0.05%
9/2/2019,1.0968,1.0989,1.1,1.0957,-0.21%
8/30/2019,1.0991,1.1056,1.1062,1.0963,-0.60%
8/29/2019,1.1057,1.1077,1.1092,1.1042,-0.19%
8/28/2019,1.1078,1.1091,1.1099,1.1072,-0.12%
8/27/2019,1.1091,1.1103,1.1116,1.1085,-0.10%
8/26/2019,1.1102,1.1145,1.1166,1.1093,-0.38%
8/23/2019,1.1144,1.1079,1.1154,1.1051,0.59%
8/22/2019,1.1079,1.1085,1.1114,1.1063,-0.05%
8/21/2019,1.1085,1.11,1.1108,1.108,-0.14%
8/20/2019,1.11,1.1079,1.1107,1.1065,0.20%
8/19/2019,1.1078,1.1092,1.1114,1.1076,-0.11%
8/16/2019,1.109,1.1107,1.1114,1.1066,-0.15%
8/15/2019,1.1107,1.1139,1.1159,1.1091,-0.29%
8/14/2019,1.1139,1.1171,1.1192,1.113,-0.28%
8/13/2019,1.1171,1.1214,1.1229,1.117,-0.39%
8/12/2019,1.1214,1.1204,1.1231,1.1162,0.12%
8/9/2019,1.12,1.118,1.1223,1.1179,0.18%
8/8/2019,1.118,1.1199,1.1233,1.1177,-0.17%
8/7/2019,1.1199,1.1199,1.1243,1.1179,-0.01%
8/6/2019,1.12,1.1203,1.125,1.1168,-0.02%
8/5/2019,1.1202,1.1103,1.1214,1.1103,0.84%
8/2/2019,1.1109,1.1085,1.1118,1.107,0.22%
8/1/2019,1.1085,1.1076,1.1096,1.1027,0.09%
7/31/2019,1.1076,1.1155,1.1163,1.1059,-0.71%
